order,name,y,x,a
1,南紡購物中心,22.9899831,120.2335426,45.6
2,東寧路東光路口,22.9898617,120.2287317,44.8
3,東明里,22.9904705,120.2267837,43.2
4,東寧社區,22.9916048,120.2229915,40.8
5,長榮東寧路口,22.9925668,120.2216632,40
6,大學路口,22.9954794,120.2219121,39.2
7,成大自強校區,22.9981848,120.2221397,37.6
8,成大醫院,23.0008999,120.221338,36
9,勝利路,22.9981811,120.2182253,34.4
10,成大光復校區,22.9964196,120.2174395,33.6
11,香格里拉大飯店,22.9968875,120.214351,32.8
12,民族路西華南街口,22.9945486,120.2097981,28.8
13,臺南護校,22.9952547,120.2072929,28
14,民族路,22.9961438,120.2046197,26
15,赤崁樓,22.996919,120.2023745,24.8
16,永樂市場,22.9980473,120.1983899,22.4
17,神農街,22.9970518,120.1970369,20.8
18,中正海安路口,22.9928506,120.1957599,16
19,水萍塭公園(永華路),22.9880554,120.1928559,12.8
20,文南路口,22.988604,120.1898503,12
21,家樂福,22.9890249,120.1876568,11.2
22,永華市政中心(永華路),22.9894419,120.1848128,10.4
23,南台別院,22.9897082,120.1829307,9.6
24,文平路口,22.9903509,120.177852,4.8
25,健康二街口,22.9908473,120.1740115,4
26,華平路口,22.990617,120.1755089,3.2
27,國平路口,22.991289,120.1705621,2.4
28,平豐路口,22.9919327,120.1635307,0.8
29,原住民文化會館,22.9955932,120.1638647,0
